,0.001,0.004,0.007,0.01
0.001,0.21291666666666667,0.21291666666666667,0.21333333333333335,0.21375
0.004,0.5591666666666667,0.5595833333333333,0.5616666666666666,0.5620833333333334
0.007,0.6625,0.6604166666666667,0.6645833333333333,0.6670833333333334
0.01,0.7254166666666667,0.7241666666666666,0.72875,0.7308333333333333
